Q2[GeV2],S_l[nb/sr],S_lt[nb/sr],S_t[nb/sr],S_tt[nb/sr],W[GeV],cos_th,dS_l[nb/sr],dS_lt[nb/sr],dS_t[nb/sr],dS_tt[nb/sr]
4.2,2.155,-3.884,10.773,-8.604,1.825,0.27,0.59,2.799,2.95,4.721
4.2,2.157,-3.809,10.785,-8.054,1.825,0.28,0.596,2.857,2.978,4.742
4.2,2.159,-3.732,10.796,-7.498,1.825,0.29,0.605,2.922,3.023,4.787
4.2,2.161,-3.652,10.807,-6.938,1.825,0.3,0.617,2.997,3.086,4.857
4.2,2.164,-3.569,10.818,-6.375,1.825,0.31,0.634,3.082,3.169,4.954
4.2,2.165,-3.485,10.827,-5.81,1.825,0.32,0.654,3.174,3.268,5.075
4.2,2.167,-3.398,10.836,-5.246,1.825,0.33,0.676,3.274,3.381,5.217
4.2,2.169,-3.31,10.844,-4.683,1.825,0.34,0.701,3.378,3.506,5.376
4.2,2.17,-3.221,10.852,-4.125,1.825,0.35,0.728,3.486,3.64,5.549
4.2,2.172,-3.132,10.859,-3.572,1.825,0.36,0.756,3.596,3.78,5.733
4.2,2.173,-3.041,10.865,-3.026,1.825,0.37,0.785,3.706,3.923,5.923
4.2,2.174,-2.951,10.87,-2.489,1.825,0.38,0.813,3.814,4.067,6.117
4.2,2.175,-2.86,10.874,-1.963,1.825,0.39,0.842,3.92,4.209,6.311
4.2,2.176,-2.77,10.878,-1.449,1.825,0.4,0.869,4.022,4.346,6.502
4.2,2.176,-2.681,10.88,-0.949,1.825,0.41,0.895,4.117,4.475,6.686
4.2,2.176,-2.593,10.882,-0.465,1.825,0.42,0.919,4.204,4.595,6.86
4.2,2.176,-2.506,10.882,0.002,1.825,0.43,0.94,4.283,4.701,7.02
4.2,2.176,-2.422,10.882,0.45,1.825,0.44,0.958,4.35,4.791,7.163
4.2,2.176,-2.339,10.88,0.878,1.825,0.45,0.973,4.405,4.863,7.286
4.2,2.176,-2.259,10.878,1.284,1.825,0.46,0.983,4.446,4.914,7.384
4.2,2.175,-2.182,10.875,1.667,1.825,0.47,0.988,4.471,4.94,7.456
4.2,2.174,-2.108,10.871,2.025,1.825,0.48,0.988,4.479,4.941,7.496
4.2,2.173,-2.038,10.866,2.357,1.825,0.49,0.982,4.468,4.911,7.502
4.2,2.172,-1.971,10.86,2.662,1.825,0.5,0.97,4.436,4.85,7.47
4.2,2.171,-1.909,10.853,2.939,1.825,0.51,0.951,4.383,4.755,7.399
