Q2[GeV2],S_l[nb/sr],S_lt[nb/sr],S_t[nb/sr],S_tt[nb/sr],W[GeV],cos_th,dS_l[nb/sr],dS_lt[nb/sr],dS_t[nb/sr],dS_tt[nb/sr]
5.0,1.674,-3.101,8.371,6.529,1.825,0.54,1.835,7.202,9.175,11.853
5.0,1.675,-3.048,8.375,6.717,1.825,0.55,1.735,6.902,8.677,11.379
5.0,1.676,-3.0,8.381,6.856,1.825,0.56,1.629,6.577,8.144,10.862
5.0,1.677,-2.959,8.387,6.946,1.825,0.57,1.517,6.231,7.587,10.313
5.0,1.679,-2.926,8.395,6.986,1.825,0.58,1.403,5.872,7.017,9.745
5.0,1.681,-2.899,8.404,6.976,1.825,0.59,1.289,5.505,6.444,9.169
5.0,1.683,-2.88,8.415,6.915,1.825,0.6,1.176,5.138,5.88,8.597
5.0,1.686,-2.869,8.428,6.804,1.825,0.61,1.067,4.777,5.333,8.041
5.0,1.689,-2.867,8.443,6.643,1.825,0.62,0.963,4.429,4.816,7.514
5.0,1.692,-2.872,8.46,6.433,1.825,0.63,0.868,4.099,4.339,7.027
5.0,1.696,-2.886,8.48,6.173,1.825,0.64,0.783,3.795,3.913,6.591
5.0,1.701,-2.909,8.503,5.865,1.825,0.65,0.709,3.523,3.547,6.219
5.0,1.706,-2.941,8.529,5.511,1.825,0.66,0.651,3.289,3.254,5.923
5.0,1.712,-2.981,8.558,5.112,1.825,0.67,0.608,3.1,3.042,5.715
5.0,1.718,-3.03,8.59,4.669,1.825,0.68,0.585,2.962,2.924,5.605
5.0,1.725,-3.089,8.625,4.186,1.825,0.69,0.58,2.877,2.899,5.596
5.0,1.733,-3.155,8.664,3.665,1.825,0.7,0.592,2.84,2.96,5.68
5.0,1.741,-3.231,8.706,3.107,1.825,0.71,0.62,2.847,3.099,5.848
5.0,1.75,-3.315,8.752,2.518,1.825,0.72,0.661,2.894,3.306,6.091
5.0,1.76,-3.407,8.801,1.899,1.825,0.73,0.715,2.977,3.574,6.4
5.0,1.771,-3.508,8.853,1.256,1.825,0.74,0.779,3.092,3.895,6.767
5.0,1.782,-3.615,8.909,0.593,1.825,0.75,0.852,3.234,4.26,7.184
5.0,1.794,-3.73,8.969,-0.086,1.825,0.76,0.932,3.399,4.66,7.641
5.0,1.806,-3.851,9.032,-0.776,1.825,0.77,1.017,3.584,5.087,8.129
5.0,1.82,-3.977,9.098,-1.47,1.825,0.78,1.107,3.784,5.534,8.642
5.0,1.834,-4.108,9.168,-2.163,1.825,0.79,1.198,3.994,5.99,9.168
5.0,1.848,-4.243,9.241,-2.849,1.825,0.8,1.29,4.212,6.449,9.701
5.0,1.863,-4.38,9.317,-3.519,1.825,0.81,1.38,4.431,6.902,10.231
5.0,1.879,-4.519,9.396,-4.167,1.825,0.82,1.468,4.649,7.34,10.749
5.0,1.896,-4.657,9.478,-4.784,1.825,0.83,1.551,4.861,7.755,11.248
5.0,1.913,-4.792,9.564,-5.363,1.825,0.84,1.628,5.063,8.139,11.718
5.0,1.93,-4.923,9.652,-5.893,1.825,0.85,1.697,5.251,8.483,12.15
5.0,1.949,-5.047,9.744,-6.366,1.825,0.86,1.756,5.421,8.778,12.536
5.0,1.968,-5.162,9.839,-6.77,1.825,0.87,1.804,5.568,9.018,12.868
5.0,1.987,-5.262,9.937,-7.095,1.825,0.88,1.838,5.688,9.192,13.137
5.0,2.008,-5.346,10.04,-7.33,1.825,0.89,1.859,5.777,9.293,13.333
5.0,2.029,-5.407,10.146,-7.463,1.825,0.9,1.863,5.832,9.313,13.449
5.0,2.052,-5.441,10.258,-7.48,1.825,0.91,1.849,5.847,9.243,13.475
5.0,2.075,-5.439,10.375,-7.368,1.825,0.92,1.815,5.818,9.074,13.404
5.0,2.1,-5.392,10.498,-7.114,1.825,0.93,1.76,5.743,8.798,13.226
5.0,2.125,-5.289,10.627,-6.702,1.825,0.94,1.682,5.615,8.408,12.933
5.0,2.153,-5.113,10.763,-6.117,1.825,0.95,1.579,5.431,7.894,12.516
5.0,2.152,-4.841,10.762,-5.342,1.825,0.96,1.536,4.345,7.681,10.013
5.0,2.152,-4.436,10.761,-4.362,1.825,0.97,1.486,3.259,7.431,7.509
5.0,2.152,-3.831,10.761,-3.157,1.825,0.98,1.429,2.172,7.147,5.006
5.0,2.152,-2.863,10.76,-1.709,1.825,0.99,1.365,1.086,6.826,2.503
